Date,1913.HK,CPRI,EL,KER.PA,LUXE,MC.PA,RMS.PA,TPR,^GSPC,^HSI,^STOXX50E,^VIX
2024-07-01,,33.91999816894531,101.9925308227539,324.5368957519531,5.070000171661377,677.8176879882812,2059.392578125,40.63874816894531,5475.08984375,,4929.990234375,12.220000267028809
2024-07-02,55.35177993774414,33.43000030517578,102.46678161621094,318.11376953125,4.989999771118164,675.5328369140625,2059.392578125,39.23540496826172,5509.009765625,17769.140625,4906.330078125,12.029999732971191
2024-07-03,54.62410354614258,33.33000183105469,103.01847076416016,319.3211364746094,4.75,680.483154296875,2074.088134765625,38.89666748046875,5537.02001953125,17978.5703125,4965.7998046875,12.09000015258789
2024-07-04,55.83689498901367,,,324.39202880859375,,685.2431030273438,2078.9873046875,,,18028.279296875,4987.47998046875,
2024-07-05,54.818153381347656,33.38999938964844,102.93135833740234,323.6192932128906,4.769999980926514,682.0064086914062,2073.108642578125,38.84827423095703,5567.18994140625,17799.609375,4979.39013671875,12.479999542236328
2024-07-08,54.7696418762207,34.02000045776367,103.07653045654297,314.58831787109375,4.539999961853027,662.3002319335938,2046.65576171875,40.56132125854492,5572.85009765625,17524.060546875,4969.830078125,12.369999885559082
2024-07-09,54.33303451538086,33.9900016784668,100.86015319824219,310.9179382324219,4.400000095367432,653.9226684570312,2019.2235107421875,40.22258758544922,5576.97998046875,17523.23046875,4903.6201171875,12.510000228881836
2024-07-10,53.60536193847656,34.09000015258789,98.9244384765625,313.8638916015625,4.320000171661377,664.1089477539062,2043.716552734375,40.987159729003906,5633.91015625,17471.669921875,4958.85986328125,12.850000381469727
2024-07-11,53.84791946411133,35.16999816894531,98.3437271118164,320.0455627441406,4.909999847412109,675.9136352539062,2074.088134765625,42.08079528808594,5584.5400390625,17832.330078125,4976.1298828125,12.920000076293945
2024-07-12,54.52708435058594,35.810001373291016,100.03746795654297,327.62774658203125,4.679999828338623,690.0030517578125,2126.013916015625,42.48728561401367,5615.35009765625,18293.380859375,5043.02001953125,12.460000038146973
2024-07-15,52.39257049560547,35.04999923706055,97.79205322265625,310.33837890625,4.340000152587891,671.724853515625,2071.149169921875,41.11297607421875,5631.22021484375,18015.939453125,4983.10986328125,13.119999885559082
2024-07-16,51.08275604248047,35.400001525878906,97.74365234375,300.7278747558594,4.340000152587891,658.8729858398438,2023.142333984375,41.57752990722656,5667.2001953125,17727.98046875,4947.830078125,13.1899995803833
2024-07-17,52.0529899597168,34.90999984741211,97.44361877441406,303.33575439453125,4.25,657.064208984375,2023.142333984375,41.21943664550781,5588.27001953125,17739.41015625,4891.4599609375,14.479999542236328
2024-07-18,51.42233657836914,34.16999816894531,93.78512573242188,306.8612365722656,4.099999904632568,657.159423828125,2025.101806640625,40.34839630126953,5544.58984375,17778.41015625,4870.1201171875,15.930000305175781
2024-07-19,51.08275604248047,33.68000030517578,95.99183654785156,304.3016052246094,4.019999980926514,647.16357421875,2020.2032470703125,39.9031982421875,5505.0,17417.6796875,4827.240234375,16.520000457763672
2024-07-22,51.71340560913086,34.0,97.79205322265625,308.0202941894531,4.059999942779541,658.8729858398438,2042.737060546875,40.445186614990234,5564.41015625,17635.880859375,4897.43994140625,14.90999984741211
2024-07-23,53.3628044128418,33.630001068115234,96.74675750732422,304.1567687988281,4.099999904632568,658.3970336914062,2039.7979736328125,39.83544921875,5555.740234375,17469.359375,4916.7998046875,14.720000267028809
2024-07-24,50.45210647583008,32.95000076293945,96.59191131591797,290.3446350097656,4.03000020980835,627.742919921875,1997.66943359375,38.55792999267578,5427.1298828125,17311.05078125,4861.8701171875,18.040000915527344
2024-07-25,50.35508346557617,33.310001373291016,96.68869018554688,268.6605224609375,4.210000038146973,621.269287109375,1966.318115234375,38.374053955078125,5399.22021484375,17021.91015625,4811.27978515625,18.459999084472656
2024-07-26,51.76191711425781,33.75,97.48233795166016,274.504150390625,4.130000114440918,631.2651977539062,2032.9398193359375,39.50639724731445,5459.10009765625,17021.310546875,4862.5,16.389999389648438
2024-07-29,53.3628044128418,33.70000076293945,97.49201202392578,273.3450622558594,4.150000095367432,623.2686157226562,1984.9329833984375,39.061195373535156,5463.5400390625,17238.33984375,4815.39013671875,16.600000381469727
2024-07-30,52.344058990478516,33.95000076293945,96.24347686767578,277.5949401855469,4.119999885559082,621.0790405273438,1986.8922119140625,38.49018096923828,5436.43994140625,17002.91015625,4841.0,17.690000534057617
2024-07-31,54.72113037109375,33.540000915527344,96.40802001953125,274.7939147949219,3.990000009536743,621.650146484375,1981.99365234375,38.79988479614258,5522.2998046875,17344.599609375,4872.93994140625,16.360000610351562
2024-08-01,57.82587432861328,33.290000915527344,93.99805450439453,267.6463623046875,3.890000104904175,611.1782836914062,1969.25732421875,37.890140533447266,5446.68017578125,17304.9609375,,18.59000015258789
2024-08-02,55.933921813964844,33.20000076293945,92.43013000488281,263.106689453125,3.9800000190734863,600.2303466796875,1920.7606201171875,36.90296173095703,5346.56005859375,16945.509765625,4638.7001953125,23.389999389648438
2024-08-05,53.16875457763672,32.290000915527344,89.2362060546875,256.2972106933594,3.7100000381469727,594.3280029296875,1913.41259765625,35.673831939697266,5186.330078125,16698.359375,4571.60009765625,38.56999969482422
2024-08-06,55.54582595825195,32.47999954223633,90.36859893798828,249.68092346191406,3.7899999618530273,592.0432739257812,1920.270751953125,35.886749267578125,5240.02978515625,16647.33984375,4575.22021484375,27.709999084472656
2024-08-07,57.58331298828125,31.8799991607666,88.62646484375,251.1297607421875,3.630000114440918,601.087158203125,1961.41943359375,35.12217712402344,5199.5,16877.859375,4668.06005859375,27.850000381469727
2024-08-08,55.15773391723633,32.099998474121094,88.75228881835938,250.30874633789062,3.630000114440918,602.8959350585938,1962.3992919921875,36.70939636230469,5319.31005859375,16891.830078125,4668.740234375,23.790000915527344
2024-08-09,56.03094482421875,30.540000915527344,86.28426361083984,245.86569213867188,3.5399999618530273,605.46630859375,1975.1356201171875,36.99974060058594,5344.16015625,17090.23046875,4675.27978515625,20.3700008392334
2024-08-12,55.54582595825195,29.610000610351562,83.42909240722656,241.32603454589844,3.700000047683716,604.6095581054688,1965.3382568359375,36.2835578918457,5344.39013671875,17111.650390625,4671.8798828125,20.709999084472656
2024-08-13,56.273502349853516,29.90999984741211,88.9652099609375,243.45098876953125,3.690000057220459,603.7527465820312,1993.75048828125,36.99974060058594,5434.43017578125,17174.060546875,4694.919921875,18.1200008392334
2024-08-14,55.400291442871094,30.1299991607666,88.68452453613281,242.58168029785156,3.640000104904175,613.2726440429688,2034.8992919921875,36.73843002319336,5455.2099609375,17113.359375,4727.60009765625,16.190000534057617
2024-08-15,54.72113037109375,31.719999313354492,92.08170318603516,246.9764404296875,3.5799999237060547,624.506103515625,2075.068115234375,37.93852996826172,5543.22021484375,17109.140625,4807.77001953125,15.229999542236328
2024-08-16,56.17647933959961,32.470001220703125,91.91717529296875,245.81739807128906,3.7899999618530273,626.5052490234375,2078.007568359375,39.099918365478516,5554.25,17430.16015625,4840.52001953125,14.800000190734863
2024-08-19,55.15773391723633,32.90999984741211,89.86532592773438,252.09564208984375,3.7100000381469727,642.1179809570312,2109.358642578125,39.27412414550781,5608.25,17569.5703125,4871.41015625,14.649999618530273
2024-08-20,54.04196548461914,33.0099983215332,88.04574584960938,249.68092346191406,3.569999933242798,645.259521484375,2126.99365234375,39.080562591552734,5597.1201171875,17511.080078125,4857.580078125,15.880000114440918
2024-08-21,52.92619705200195,35.439998626708984,88.56839752197266,249.7775115966797,3.6700000762939453,646.21142578125,2150.50732421875,39.825775146484375,5620.85009765625,17391.009765625,4885.27978515625,16.270000457763672
2024-08-22,52.44108200073242,35.04999923706055,88.50064086914062,250.93655395507812,3.7699999809265137,645.449951171875,2154.426025390625,38.87731170654297,5570.64013671875,17641.0,4885.0,17.549999237060547
2024-08-23,52.29554748535156,35.779998779296875,90.68799591064453,251.1297607421875,3.759999990463257,648.4010620117188,2150.50732421875,40.319366455078125,5634.60986328125,17612.099609375,4909.2001953125,15.859999656677246
2024-08-26,52.39257049560547,35.38999938964844,91.4622802734375,251.22634887695312,3.7799999713897705,649.2578125,2147.568115234375,39.36122131347656,5616.83984375,17798.73046875,4896.68994140625,16.149999618530273
2024-08-27,52.39257049560547,35.880001068115234,89.88468170166016,250.5985107421875,3.549999952316284,637.6436157226562,2089.76416015625,38.96441650390625,5625.7998046875,17874.669921875,4898.77978515625,15.430000305175781
2024-08-28,52.198524475097656,35.900001525878906,89.42011260986328,247.65255737304688,3.509999990463257,634.2164916992188,2078.9873046875,39.3902587890625,5592.18017578125,17692.44921875,4913.02978515625,17.110000610351562
2024-08-29,53.55685043334961,35.880001068115234,87.65860748291016,249.53604125976562,3.9000000953674316,644.8787231445312,2116.216796875,39.2160530090332,5591.9599609375,17786.3203125,4966.27001953125,15.649999618530273
2024-08-30,54.090476989746094,35.720001220703125,89.36479949951172,250.1638641357422,3.7300000190734863,641.9276123046875,2125.0341796875,39.651573181152344,5648.39990234375,17989.0703125,4957.97998046875,15.0
2024-09-02,53.3628044128418,,,248.08721923828125,,640.88037109375,2119.156005859375,,,17691.970703125,4973.06982421875,
2024-09-03,52.247032165527344,36.029998779296875,90.21300506591797,245.4793243408203,3.75,638.6908569335938,2120.1357421875,40.23225784301758,5528.93017578125,17651.490234375,4912.52001953125,20.719999313354492
2024-09-04,51.179779052734375,36.04999923706055,90.09600830078125,240.02207946777344,3.880000114440918,611.7494506835938,2038.8179931640625,39.86448669433594,5520.06982421875,17457.33984375,4848.18017578125,21.31999969482422
2024-09-05,51.37382507324219,35.220001220703125,87.81460571289062,236.59320068359375,4.010000228881836,589.4728393554688,1908.024169921875,40.029022216796875,5503.41015625,17444.30078125,4815.14990234375,19.899999618530273
2024-09-06,,34.77000045776367,85.3089599609375,228.1900177001953,3.9000000953674316,582.6185302734375,1870.7943115234375,39.39456558227539,5408.419921875,,4738.06005859375,22.3799991607666
2024-09-09,48.31759262084961,36.54999923706055,84.73373413085938,222.4429931640625,3.880000114440918,586.6168823242188,1865.895751953125,40.30232620239258,5471.0498046875,17196.9609375,4778.66015625,19.450000762939453
2024-09-10,48.36610412597656,37.810001373291016,82.9983139038086,221.4771270751953,3.740000009536743,582.9993896484375,1857.5679931640625,40.1851921081543,5495.52001953125,17234.08984375,4747.2001953125,19.079999923706055
2024-09-11,47.880985260009766,40.459999084472656,82.40357971191406,221.9600830078125,3.8550000190734863,577.8585815429688,1865.4058837890625,40.75132369995117,5554.1298828125,17108.7109375,4763.580078125,17.690000534057617
2024-09-12,48.12354278564453,39.2599983215332,82.09159088134766,220.26976013183594,3.9000000953674316,577.6681518554688,1877.162841796875,41.034385681152344,5595.759765625,17240.390625,4814.080078125,17.06999969482422
2024-09-13,48.31759262084961,38.220001220703125,82.44257354736328,221.18736267089844,3.890000104904175,578.90576171875,1877.162841796875,41.737159729003906,5626.02001953125,17369.08984375,4843.990234375,16.559999465942383
2024-09-16,48.75419616699219,38.65999984741211,82.9983139038086,217.8550567626953,3.8299999237060547,574.6217041015625,1857.5679931640625,42.22520446777344,5633.08984375,17422.119140625,4827.6298828125,17.139999389648438
2024-09-17,48.36610412597656,39.88999938964844,85.89393615722656,221.81517028808594,3.7300000190734863,578.52490234375,1886.9598388671875,42.244720458984375,5634.580078125,17660.01953125,4860.77978515625,17.610000610351562
2024-09-18,,39.06999969482422,85.79643249511719,219.2555694580078,3.869999885559082,567.29150390625,1870.3045654296875,42.098304748535156,5618.259765625,,4835.2998046875,18.229999542236328
2024-09-19,48.51163864135742,38.869998931884766,85.2504653930664,225.05088806152344,3.8499999046325684,584.5224609375,1951.6221923828125,41.79572677612305,5713.64013671875,18013.16015625,4943.3798828125,16.329999923706055
2024-09-20,49.28782653808594,38.290000915527344,82.88130950927734,217.56529235839844,3.859999895095825,563.4835815429688,1890.87890625,41.55170440673828,5702.5498046875,18258.5703125,4871.5400390625,16.149999618530273
2024-09-23,47.880985260009766,38.099998474121094,84.52899169921875,214.32957458496094,3.7699999809265137,566.5298461914062,1895.2877197265625,43.06462478637695,5718.56982421875,18247.109375,4885.56982421875,15.890000343322754
2024-09-24,50.500614166259766,38.279998779296875,89.6767807006836,221.1390380859375,3.9000000953674316,584.61767578125,1968.2774658203125,44.31401443481445,5732.93017578125,19000.560546875,4940.72021484375,15.390000343322754
2024-09-25,51.470848083496094,38.40999984741211,89.3160400390625,221.1390380859375,3.9200000762939453,587.8544921875,1990.8114013671875,44.636112213134766,5722.259765625,19129.099609375,4916.89013671875,15.40999984741211
2024-09-26,53.89643096923828,38.810001373291016,98.25641632080078,242.3885040283203,3.890000104904175,645.9259033203125,2172.0615234375,45.885494232177734,5745.3701171875,19924.580078125,5032.58984375,15.369999885559082
2024-09-27,57.58331298828125,39.470001220703125,97.36920928955078,257.7460632324219,3.8399999141693115,669.6304931640625,2186.75732421875,46.793251037597656,5738.169921875,20632.30078125,5067.4501953125,16.959999084472656
2024-09-30,58.213966369628906,42.439998626708984,97.19371795654297,248.08721923828125,3.809999942779541,655.44580078125,2161.2841796875,45.85620880126953,5762.47998046875,21133.6796875,5000.4501953125,16.729999542236328
2024-10-01,,42.13999938964844,94.80506134033203,240.9879913330078,3.6500000953674316,632.1220703125,2103.480224609375,45.20224380493164,5708.75,,4954.14990234375,19.260000228881836
2024-10-02,56.32201385498047,42.18000030517578,94.68807220458984,235.14437866210938,3.740000009536743,636.310791015625,2110.33837890625,44.723960876464844,5709.5400390625,22443.73046875,4963.2900390625,18.899999618530273
2024-10-03,54.23601531982422,41.970001220703125,93.0208969116211,229.92860412597656,4.0,629.26611328125,2093.682861328125,44.6556396484375,5699.93994140625,22113.509765625,4921.330078125,20.489999771118164
2024-10-04,55.30326843261719,42.279998779296875,93.45962524414062,228.4797821044922,4.309999942779541,630.1229248046875,2094.662841796875,45.3876953125,5751.06982421875,22736.869140625,4954.93994140625,19.209999084472656
2024-10-07,54.62410354614258,42.63999938964844,93.63510131835938,238.9113311767578,6.760000228881836,647.16357421875,2118.17626953125,44.587318420410156,5695.93994140625,23099.779296875,4969.7099609375,22.639999389648438
2024-10-08,52.53810501098633,42.619998931884766,91.55845642089844,228.28660583496094,7.75,624.0300903320312,2105.439697265625,44.1773567199707,5751.1298828125,20926.7890625,4949.0,21.420000076293945
2024-10-09,51.37382507324219,43.0,91.35369873046875,231.81207275390625,7.489999771118164,624.886962890625,2072.128662109375,43.73812484741211,5792.0400390625,20637.240234375,4982.56982421875,20.860000610351562
2024-10-10,52.00447463989258,43.150001525878906,92.56266784667969,232.19842529296875,7.5,623.5541381835938,2072.128662109375,43.347686767578125,5780.0498046875,21251.98046875,4970.33984375,20.93000030517578
2024-10-11,,42.97999954223633,93.693603515625,230.99105834960938,7.949999809265137,621.7453002929688,2088.7841796875,44.1871223449707,5815.02978515625,,5003.919921875,20.459999084472656
2024-10-14,51.567874908447266,43.04999923706055,92.07518768310547,222.15322875976562,7.800000190734863,607.1798706054688,2079.966796875,44.49946594238281,5859.85009765625,21092.869140625,5041.009765625,19.700000762939453
2024-10-15,51.81043243408203,43.040000915527344,89.14056396484375,222.5395965576172,7.309999942779541,595.375244140625,2041.7572021484375,44.118797302246094,5815.259765625,20318.7890625,4946.72998046875,20.639999389648438
2024-10-16,50.694664001464844,42.90999984741211,88.5750732421875,220.70440673828125,7.28000020980835,573.4794311523438,2014.3248291015625,44.3725700378418,5842.47021484375,20286.849609375,4908.7099609375,19.579999923706055
2024-10-17,50.7431755065918,42.63999938964844,88.66282653808594,222.15322875976562,7.269999980926514,580.1433715820312,2025.101806640625,44.099273681640625,5841.47021484375,20079.099609375,4947.2998046875,19.110000610351562
2024-10-18,53.70238494873047,41.97999954223633,87.78535461425781,229.92860412597656,7.340000152587891,593.2808227539062,2046.65576171875,44.06999206542969,5864.669921875,20804.109375,4986.27001953125,18.030000686645508
2024-10-21,54.04196548461914,42.040000915527344,87.02488708496094,224.5196533203125,7.150000095367432,581.66650390625,2024.1220703125,43.4453010559082,5853.97998046875,20478.4609375,4941.22021484375,18.3700008392334
2024-10-22,53.3628044128418,42.060001373291016,85.39669799804688,226.4031219482422,7.179999828338623,586.4264526367188,2019.2235107421875,42.879173278808594,5851.2001953125,20498.94921875,4939.31005859375,18.200000762939453
2024-10-23,53.3628044128418,41.810001373291016,85.59169006347656,223.07083129882812,6.900000095367432,584.1416625976562,2019.2235107421875,42.498504638671875,5797.419921875,20760.150390625,4922.5498046875,19.239999771118164
2024-10-24,54.23601531982422,41.599998474121094,86.41065216064453,227.61048889160156,6.829999923706055,598.5167846679688,2040.777587890625,43.4062614440918,5809.85986328125,20489.619140625,4935.4501953125,19.079999923706055
2024-10-25,55.44880676269531,21.260000228881836,85.06521606445312,226.93435668945312,7.510000228881836,596.8983154296875,2062.33154296875,49.282257080078125,5808.1201171875,20590.150390625,4943.08984375,20.329999923706055
2024-10-28,55.30326843261719,21.389999389648438,86.49839782714844,232.58477783203125,7.090000152587891,601.7534790039062,2081.92626953125,49.262733459472656,5823.52001953125,20599.359375,4969.830078125,19.799999237060547
