ticker,event,n_days,total_car,mean_ar,std_ar,t_stat,p_value,significant,beta
1913.HK,full_trailer,8,0.05496245734813668,0.006870307168517085,0.01029036790526152,1.7664212169932691,0.12066552577415551,False,0.638561709019885
1913.HK,musical_extension,8,-0.04473565163149233,-0.0055919564539365415,0.016304547064888833,-0.9074110467796414,0.39435354746847484,False,0.21488443618344372
1913.HK,musical_opening,8,0.07752877821648191,0.009691097277060239,0.02046890124694661,1.2526433645411923,0.2505601649290628,False,0.6143515838178011
1913.HK,musical_previews,8,0.08490742948278429,0.010613428685348036,0.028374206882012427,0.9896485556729863,0.3553129876287281,False,0.7810180700050041
1913.HK,nyc_premiere,8,0.012530905135925051,0.0015663631419906305,0.019643980660340135,0.2109657613790995,0.8389240312039066,False,0.32718412348796266
1913.HK,teaser_trailer,8,0.010101945702038106,0.0012627432127547637,0.020846609008381308,0.1602612928242013,0.877201920879608,False,0.3837520316025825
1913.HK,theatrical_release,4,,,,,,False,0.4928398426703847
CPRI,full_trailer,8,-0.15341837232280356,-0.01917729654035045,0.04851540450777713,-1.0458195284380893,0.33040785321043414,False,1.1457299704769106
CPRI,musical_extension,8,0.1151811144315033,0.014397639303937913,0.030514243175980373,1.2483538538033874,0.25203460114717957,False,2.301700492562674
CPRI,musical_opening,8,0.04222211771177838,0.005277764713972299,0.01807283693770942,0.7726320421973784,0.46502312687449743,False,0.798314700827748
CPRI,musical_previews,8,-0.7597012377167588,-0.09496265471459485,0.22049162002681008,-1.1394880593773296,0.29198614205974366,False,0.9824826804692224
CPRI,nyc_premiere,8,0.026578341420962475,0.00332229267762031,0.02051887596446201,0.42838409973227254,0.6812443632949887,False,1.7795107861343635
CPRI,teaser_trailer,8,0.05054833307341752,0.00631854163417719,0.02594610008027649,0.6443083839543394,0.5399060294651533,False,2.4467328018804997
CPRI,theatrical_release,4,-0.07468622002940292,-0.01867155500735073,0.01860314096615151,-1.738420516615525,0.18052380667489037,False,1.6875881649769782
EL,full_trailer,8,-0.17885746068431108,-0.02235718258553888,0.06920334892569896,-0.8547497491907324,0.4209774724177666,False,1.2925832943454874
EL,musical_extension,8,-0.00010545106248169983,-1.3181382810212479e-05,0.03097825384937067,-0.0011257787808615434,0.9991331697969372,False,2.0569507885176854
EL,musical_opening,8,0.12011354822519259,0.015014193528149072,0.020124321980904383,1.9739210220036798,0.08897551575208519,False,1.8907450791245277
EL,musical_previews,8,-0.21075113428233125,-0.026343891785291406,0.07107399849913884,-0.9806594211851319,0.35943057656834154,False,1.074786039380499
EL,nyc_premiere,8,0.04756468722707562,0.005945585903384453,0.013708014056323607,1.1475434467963614,0.28885968765740455,False,1.8196524792216933
EL,teaser_trailer,8,0.00903411994462926,0.0011292649930786576,0.01955261482372256,0.15280587087269054,0.8828627756531996,False,1.7390877422628996
EL,theatrical_release,4,0.08143020752989553,0.020357551882473884,0.021656246646743656,1.6281821477807252,0.20197020702234195,False,1.9396622076316368
KER.PA,full_trailer,8,-0.01853738925028494,-0.0023171736562856175,0.014465635064114354,-0.4238089245242099,0.6844242079916691,False,0.6709196405363488
KER.PA,musical_extension,8,-0.04759771533183456,-0.00594971441647932,0.014808426162678743,-1.063007273354465,0.3230690066382267,False,0.7545655540302018
KER.PA,musical_opening,8,0.050433381609603034,0.006304172701200379,0.02205085113254697,0.7564004259572531,0.4740915014476579,False,1.969626220101916
KER.PA,musical_previews,8,0.06817771128840133,0.008522213911050167,0.011487913535426926,1.9627287895926813,0.09045526635487565,False,1.8355565957392297
KER.PA,nyc_premiere,8,-0.025235956911629602,-0.0031544946139537003,0.014886444274703219,-0.5606448461837662,0.5925229774745832,False,1.148577704389399
KER.PA,teaser_trailer,8,-0.06773162888817566,-0.008466453611021958,0.02205443778977646,-1.0156745302214265,0.34359733783976626,False,0.6559411391435211
KER.PA,theatrical_release,4,,,,,,False,1.366809185745716
MC.PA,full_trailer,8,-0.024562492024152095,-0.0030703115030190123,0.01556577239490928,-0.5218681398133466,0.6178632517427594,False,1.2236457422923457
