ticker,model,lag,pearson_r,pearson_p,spearman_r,spearman_p,n
1913.HK,VADER,0,0.1004039007872622,0.5322347475157898,0.12526132404181187,0.4351904360527703,41
1913.HK,VADER,1,0.21454964984905112,0.18370106726920132,0.2819887429643528,0.07792213612527574,40
1913.HK,VADER,2,0.02131801157493305,0.9047459850007216,-0.11291061879297173,0.5249142731603025,34
MC.PA,VADER,0,0.348907787840768,0.025365470322608802,0.26428571428571435,0.0949674100982185,41
MC.PA,VADER,1,0.23826709911076396,0.13872211725132028,0.11932457786116324,0.4633324698451453,40
MC.PA,VADER,2,-0.14323167585608182,0.41902312988794715,-0.044461420932009166,0.8028359053046912,34
KER.PA,VADER,0,0.13029714890413893,0.41680446159116236,0.08501742160278748,0.5971519661049731,41
KER.PA,VADER,1,-0.05397081455851167,0.7408267762893086,-0.12626641651031897,0.43752998782248864,40
KER.PA,VADER,2,0.058363525734467424,0.7430135001283922,0.2378915202444614,0.17548371429629722,34
CPRI,VADER,0,-0.10508520086116535,0.5077693958442918,-0.10201766469491938,0.5203031991192807,42
CPRI,VADER,1,0.15427895886647483,0.329299884834681,0.007859978932015234,0.9605989787397189,42
CPRI,VADER,2,-0.10402708779820186,0.5459922217074549,-0.019562419562419563,0.9098380216873673,36
TPR,VADER,0,0.1267345144983615,0.4238386297022405,0.0606920022688599,0.7026013242515119,42
TPR,VADER,1,0.030427807574510617,0.8483000841651258,0.04027226318774816,0.800097963976002,42
TPR,VADER,2,-0.06409232597360137,0.7103659981130624,0.13770913770913773,0.4231771164575431,36
EL,VADER,0,-0.03610843349830348,0.8204072140125718,0.03233125354509359,0.8389316932167095,42
EL,VADER,1,-0.15874393892230457,0.31532244548229427,-0.02001458552791508,0.8998843969556842,42
EL,VADER,2,0.30785995606875255,0.06775696513917978,0.1770913770913771,0.3014896524654356,36
RMS.PA,VADER,0,0.33120743727662066,0.034405369105476306,0.38797909407665515,0.01219339695030102,41
RMS.PA,VADER,1,-0.01372927616346406,0.9329912286087401,-0.04803001876172608,0.768524175162375,40
RMS.PA,VADER,2,-0.25603828043118754,0.1438522544227771,-0.14682964094728798,0.4073094968790024,34
