ticker,event,n_days,total_car,mean_ar,std_ar,t_stat,p_value,significant,beta,stars,total_car_pct,ticker_name
1913.HK,full_trailer,8,0.0549624573481366,0.006870307168517,0.0102903679052615,1.7664212169932691,0.1206655257741555,False,0.638561709019885,,5.496,Prada
1913.HK,musical_extension,8,-0.0447356516314923,-0.0055919564539365,0.0163045470648888,-0.9074110467796414,0.3943535474684748,False,0.2148844361834437,,-4.474,Prada
1913.HK,musical_opening,8,0.0775287782164819,0.0096910972770602,0.0204689012469466,1.2526433645411923,0.2505601649290628,False,0.6143515838178011,,7.753,Prada
1913.HK,musical_previews,8,0.0849074294827842,0.010613428685348,0.0283742068820124,0.9896485556729864,0.3553129876287281,False,0.7810180700050041,,8.491,Prada
1913.HK,nyc_premiere,8,0.012530905135925,0.0015663631419906,0.0196439806603401,0.2109657613790995,0.8389240312039066,False,0.3271841234879626,,1.253,Prada
1913.HK,prada_fw26_show,8,,,,,,False,0.1027402234106256,,,Prada
1913.HK,prada_ss26_show,8,0.0437006716007678,0.0054625839500959,0.0183504887546875,0.7875887580419311,0.4567723287839019,False,0.3001532964428057,,4.37,Prada
1913.HK,teaser_trailer,8,0.0101019457020381,0.0012627432127547,0.0208466090083813,0.1602612928242013,0.877201920879608,False,0.3837520316025825,,1.01,Prada
1913.HK,theatrical_release,4,,,,,,False,0.4928398426703847,,,Prada
CPRI,full_trailer,8,-0.1534183723228035,-0.0191772965403504,0.0485154045077771,-1.0458195284380891,0.3304078532104341,False,1.1457299704769106,,-15.342,Capri Holdings
CPRI,musical_extension,8,0.1151811144315033,0.0143976393039379,0.0305142431759803,1.2483538538033874,0.2520346011471795,False,2.301700492562674,,11.518,Capri Holdings
CPRI,musical_opening,8,0.0422221177117783,0.0052777647139722,0.0180728369377094,0.7726320421973784,0.4650231268744974,False,0.798314700827748,,4.222,Capri Holdings
CPRI,musical_previews,8,-0.7597012377167588,-0.0949626547145948,0.22049162002681,-1.1394880593773296,0.2919861420597436,False,0.9824826804692224,,-75.97,Capri Holdings
CPRI,nyc_premiere,8,0.0265783414209624,0.0033222926776203,0.020518875964462,0.4283840997322725,0.6812443632949887,False,1.7795107861343635,,2.658,Capri Holdings
CPRI,prada_fw26_show,8,0.0415816096510017,0.0051977012063752,0.0289549394172148,0.4749388207358238,0.6492913810447312,False,2.459636095621135,,4.158,Capri Holdings
CPRI,prada_ss26_show,8,-0.0950443340475928,-0.0118805417559491,0.0328400407185112,-0.9571534699481014,0.3703710951700469,False,3.8204896756915736,,-9.504,Capri Holdings
CPRI,teaser_trailer,8,0.0505483330734175,0.0063185416341771,0.0259461000802764,0.6443083839543394,0.5399060294651533,False,2.4467328018805,,5.055,Capri Holdings
CPRI,theatrical_release,4,-0.0746862200294029,-0.0186715550073507,0.0186031409661515,-1.738420516615525,0.1805238066748903,False,1.6875881649769782,,-7.469,Capri Holdings
EL,full_trailer,8,-0.1788574766495235,-0.0223571845811904,0.0692033511544952,-0.8547497979591032,0.4209774471737002,False,1.2925827821624272,,-17.886,Estee Lauder
EL,musical_extension,8,-0.0001054510624816,-1.318138281021248e-05,0.0309782538493706,-0.0011257787808615,0.9991331697969372,False,2.056950788517685,,-0.011,Estee Lauder
EL,musical_opening,8,0.1201133684075594,0.0150141710509449,0.020124394244897,1.9739109788439129,0.0889768328568793,False,1.890745755871011,*,12.011,Estee Lauder
EL,musical_previews,8,-0.2107510929303886,-0.0263438866162985,0.071073981445,-0.9806594640761072,0.3594305568342348,False,1.0747879026367633,,-21.075,Estee Lauder
EL,nyc_premiere,8,0.0475646872270756,0.0059455859033844,0.0137080140563236,1.1475434467963614,0.2888596876574045,False,1.8196524792216933,,4.756,Estee Lauder
EL,prada_fw26_show,8,-0.0300226652257092,-0.0037528331532136,0.0186246002849079,-0.5331155076314572,0.6104533017698924,False,2.881950904523883,,-3.002,Estee Lauder
EL,prada_ss26_show,8,-0.0440871593023822,-0.0055108949127977,0.0121976782050862,-1.195346950093677,0.2708717060368634,False,1.553661760676708,,-4.409,Estee Lauder
EL,teaser_trailer,8,0.0090341782390768,0.0011292722798846,0.0195525925159784,0.152807031221665,0.8828618940266406,False,1.7390860406743895,,0.903,Estee Lauder
EL,theatrical_release,4,0.0814302075298955,0.0203575518824738,0.0216562466467436,1.6281821477807252,0.2019702070223419,False,1.9396622076316368,,8.143,Estee Lauder
KER.PA,full_trailer,8,-0.0185373892502849,-0.0023171736562856,0.0144656350641143,-0.4238089245242099,0.6844242079916691,False,0.6709196405363488,,-1.854,Kering
KER.PA,musical_extension,8,-0.0475977153318345,-0.0059497144164793,0.0148084261626787,-1.063007273354465,0.3230690066382267,False,0.7545655540302018,,-4.76,Kering
KER.PA,musical_opening,8,0.050433381609603,0.0063041727012003,0.0220508511325469,0.7564004259572531,0.4740915014476579,False,1.969626220101916,,5.043,Kering
KER.PA,musical_previews,8,0.0681777112884013,0.0085222139110501,0.0114879135354269,1.9627287895926813,0.0904552663548756,False,1.8355565957392297,*,6.818,Kering
KER.PA,nyc_premiere,8,-0.0252359569116296,-0.0031544946139537,0.0148864442747032,-0.5606448461837662,0.5925229774745832,False,1.148577704389399,,-2.524,Kering
KER.PA,prada_fw26_show,8,0.0664550823106412,0.0083068852888301,0.0113379652348682,1.9384388810961932,0.0937502690286651,False,0.7497123626254827,*,6.646,Kering
KER.PA,prada_ss26_show,8,0.0156709800127469,0.0019588725015933,0.0148030307944265,0.3501100255260116,0.7365541071076763,False,0.5463549614104346,,1.567,Kering
KER.PA,teaser_trailer,8,-0.0677316288881756,-0.0084664536110219,0.0220544377897764,-1.0156745302214265,0.3435973378397662,False,0.6559411391435211,,-6.773,Kering
